input_index,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
0,8.684433937072754,8.638145446777344,8.385485649108887,10.912622451782227,2.2281885147094727,104,165,165
1,1.2709513902664185,1.1852645874023438,1.20671546459198,2.639878273010254,1.3689268827438354,105,165,165
2,2.7604315280914307,2.5983078479766846,2.524831533432007,4.26063871383667,1.5002071857452393,110,165,165
3,1.2931127548217773,1.1974425315856934,1.1475765705108643,3.767324924468994,2.474212169647217,103,165,165
4,9.257710456848145,9.446988105773926,9.382950782775879,10.83498477935791,1.3879966735839844,87,165,165
5,5.4243268966674805,5.606612205505371,5.434382915496826,6.732085227966309,1.1254730224609375,92,165,165
6,1.4038949012756348,1.3041086196899414,1.416743516921997,3.085819959640503,1.6690764427185059,106,165,165
7,2.078923225402832,1.9772570133209229,1.9066035747528076,4.868830680847168,2.789907455444336,126,165,165
8,8.82042121887207,9.02918815612793,8.85023021697998,11.14463996887207,2.1154518127441406,100,165,165
9,5.98239803314209,6.216760635375977,6.196813106536865,7.710312843322754,1.4935522079467773,99,165,165
10,2.1467742919921875,2.1385929584503174,2.128331184387207,4.268580913543701,2.1218066215515137,105,165,165
11,4.467123985290527,4.4401960372924805,4.177553176879883,6.616552829742432,2.1494288444519043,101,165,165
12,15.296146392822266,15.851774215698242,15.771527290344238,17.420154571533203,1.568380355834961,108,165,165
13,6.621767997741699,6.595890522003174,6.43197774887085,8.289852142333984,1.6680841445922852,106,165,165
14,8.560380935668945,8.794565200805664,8.58501148223877,11.049978256225586,2.255413055419922,109,165,165
15,4.169097900390625,3.81699538230896,3.7050063610076904,6.1353020668029785,1.9662041664123535,114,165,165
16,1.0407353639602661,1.1820323467254639,1.2993229627609253,3.4258902072906494,2.126567244529724,102,165,165
17,7.1582932472229,7.163527965545654,6.950709342956543,9.263875961303711,2.1003479957580566,111,165,165
18,6.290345191955566,6.190770149230957,5.853979587554932,7.940740585327148,1.650395393371582,101,165,165
19,4.0083770751953125,4.056682586669922,3.869117498397827,6.682837963104248,2.626155376434326,111,165,165
20,4.411404609680176,4.221212863922119,4.080629825592041,6.5530195236206055,2.1416149139404297,121,165,165
21,6.763704776763916,6.97827672958374,6.963459491729736,9.584613800048828,2.606337070465088,111,165,165
22,0.160185307264328,0.18028151988983154,0.13863536715507507,1.98661208152771,1.8063305616378784,118,165,165
23,3.0057735443115234,2.9598124027252197,2.820668935775757,4.76430606842041,1.7585325241088867,121,165,165
24,4.718705654144287,4.582264423370361,4.491100311279297,6.754572868347168,2.035867214202881,111,165,165
25,5.408177375793457,5.440644264221191,5.286370277404785,7.691923141479492,2.251278877258301,109,165,165
26,7.431774139404297,7.361948013305664,7.132700443267822,9.29946231842041,1.8676881790161133,109,165,165
27,0.995354413986206,1.0628349781036377,1.1258814334869385,2.7839999198913574,1.658118486404419,112,165,165
28,9.534817695617676,9.689657211303711,9.614813804626465,12.281314849853516,2.5916576385498047,117,165,165
29,7.137761116027832,7.330142974853516,7.113290786743164,9.986583709716797,2.6564407348632812,119,165,165
30,5.868514060974121,5.9980974197387695,5.909700870513916,7.660876274108887,1.6627788543701172,102,165,165
31,7.57735013961792,7.677192687988281,7.531988620758057,9.333586692810059,1.6563940048217773,115,165,165
32,7.488432884216309,7.587466716766357,7.421946048736572,9.39316463470459,1.8056979179382324,116,165,165
33,6.821137428283691,6.964595794677734,6.781256198883057,8.60232162475586,1.637725830078125,96,165,165
34,3.424868583679199,3.5464279651641846,3.5393455028533936,5.6718010902404785,2.125373125076294,112,165,165
35,4.699066162109375,4.726640701293945,4.727218151092529,5.953142166137695,1.225924015045166,99,165,165
36,4.458596706390381,4.532157897949219,4.3337602615356445,6.3203887939453125,1.7882308959960938,102,165,165
37,8.407709121704102,8.552303314208984,8.379351615905762,10.755342483520508,2.2030391693115234,104,165,165
38,8.5413179397583,8.70387077331543,8.507832527160645,10.567305564880371,1.8634347915649414,90,165,165
39,0.4536813199520111,0.5961121916770935,0.5749633312225342,2.0476529598236084,1.451540768146515,98,165,165
40,1.528743863105774,1.4233214855194092,1.4943678379058838,4.1126179695129395,2.5838741064071655,115,165,165
41,4.688645362854004,4.7897562980651855,4.7006731033325195,6.114468097686768,1.324711799621582,111,165,165
42,7.114305019378662,7.330329895019531,7.2573771476745605,8.977960586547852,1.6476306915283203,108,165,165
43,1.4503710269927979,1.492765188217163,1.4408971071243286,2.7963831424713135,1.3036179542541504,101,165,165
44,5.068342208862305,5.259624481201172,5.224984645843506,6.687074184417725,1.4274497032165527,102,165,165
45,4.713689804077148,4.909936904907227,4.76577615737915,7.12425422668457,2.2143173217773438,118,165,165
46,5.823092460632324,5.8187360763549805,5.6409687995910645,7.521269798278809,1.6981773376464844,94,165,165
47,5.135316848754883,5.240429878234863,4.923642158508301,6.553182601928711,1.3127527236938477,108,165,165
48,4.896487236022949,4.832959175109863,4.788232326507568,6.8189239501953125,1.9224367141723633,114,165,165
