train_loss,val_loss,train_recon,val_recon,train_kl,val_kl,train_pred,val_pred,train_trimer,val_trimer
369.15024363287387,358.6495113759114,354.7278689180912,347.078657718404,9.668032843306612,2.0366662685014156,13.368882557747742,11.28565831072357,0.8669055414474509,0.8152650240270505
359.2666082107522,356.80725931677017,347.12042512577614,345.5471619295166,1.525023662367086,1.1435702553382603,11.735294422233276,10.937444849140478,1.0588474249424196,0.9393743050925769
358.0871241034357,356.60288743923843,346.14524575446995,345.4404990463813,0.7351623652733513,0.4298394491889494,11.613432296829412,10.927028918697678,1.0789573833813457,1.0640584856569526
357.2724849734888,355.87675533351336,345.64076424800817,344.93193124662434,0.41399438195518595,0.29334882591468014,11.359003647625682,10.731723341399709,1.0712224626858624,0.9575853752117688
356.49969783328345,355.22356134384285,345.023647467878,344.1670140764245,0.29130514438412547,0.18606320607028007,11.223511808373553,10.85781323842155,1.0688436560546255,1.057090165902884
353.91766000808894,348.71033726876857,342.52145033010396,338.1088749831218,0.2310232405192727,0.21468036753597564,11.152583278856628,10.369960619055707,1.0501316989771117,1.0268941225633408
348.35285664439476,331.6690890409803,337.1649387542549,321.22746020962734,0.19396739442319763,0.1610930955574186,10.954964593308146,10.240672318316651,0.9717920836580445,0.8818931445668524
320.6460086231484,221.09422153490414,309.6812278489003,210.62456696850526,0.16969521478929916,0.1586576797110372,10.76492691525188,10.235074390696733,0.640969586424101,1.0765471225360455
227.5319768512241,94.27314081277005,216.8848541709527,84.51327339108494,0.16086441699841567,0.1862493706110069,10.47155312413792,9.549945531521105,0.30791423418335134,0.4229732495914946
139.7829499069537,37.08012757287166,129.56879991303208,27.761442303432183,0.1625812337456854,0.15360318162523023,10.034145268183188,9.155106419072164,0.17423092636698567,0.09975330899800283
87.18563432508697,22.65275555187517,77.4312831718563,13.508919473020187,0.14718870696770348,0.18078726908338413,9.597346286655249,8.959362387496203,0.09816042758179395,0.03686283203256861
62.04593746858518,14.842510572614266,53.06248712357742,6.410639833702192,0.15472814568926047,0.1321840283679473,8.822310806631712,8.298353326536338,0.06411357336914013,0.013333576291501763
48.55240881154967,13.768384323099514,40.350543290057836,5.788553022095683,0.1556162741418426,0.1472317347679787,8.041516202776952,7.83123202405039,0.04733202044873049,0.01367486810928868
40.36326711333181,12.899608030017891,32.80152021054065,5.307461113534423,0.152279317089157,0.13192096208515214,7.405634347186927,7.458883320032955,0.038334493764793275,0.013426354695679914
34.49387673139483,11.766740148401635,27.652524969666437,4.762597669436099,0.14813677720787405,0.14420599323203684,6.689941077490275,6.858638177264423,0.03274064273781433,0.012982344035036075
29.73973140914893,10.943949782587598,23.756080356328784,4.578847054304576,0.14787622403124645,0.1399723602055924,5.832973539298623,6.223847523400051,0.028013315377028867,0.012826608735871837
26.71347379909186,10.703485689258498,21.385574099958152,4.5336901370879605,0.1453616775178228,0.15375359999048624,5.1799463229430165,6.014755376763772,0.025915850856019322,0.01286637094128367
24.05445265596946,10.431116823695525,19.211294460004115,4.52128884163284,0.13915507053396076,0.14660274753884756,4.701607735055167,5.7619111846338695,0.02395423946914279,0.013141392599142406
21.897004162390356,10.104085660064476,17.487140444620497,4.473471628921018,0.13730712099974984,0.1325582954454126,4.270280978563186,5.496748291477139,0.022754507975543705,0.013075122246058477
20.008948935614818,9.846047249221492,15.997336160399094,4.474922347062348,0.1358365254171358,0.1338776099884668,3.8736720709773254,5.236040569143684,0.021042573021247835,0.012067814308535303
18.78202755327953,9.675398935538963,15.068274906581097,4.451321125159288,0.13254218883804067,0.13404177408942075,3.5792343722968645,5.088849225560621,0.01976114602009378,0.011869003571209765
17.38447398316078,9.381261897157922,13.868365998595246,4.382381512350628,0.12835533295910584,0.13375219447594092,3.3859278077523443,4.8639634081134595,0.018248401343122403,0.01164699814430997
